,title
0,(500) Days of Summer (2009)
1,10 Things I Hate About You (1999)
2,101 Dalmatians (1996)
3,101 Dalmatians (One Hundred and One Dalmatians) (1961)
4,12 Angry Men (1957)
5,13 Going on 30 (2004)
6,"13th Warrior, The (1999)"
7,1408 (2007)
8,2001: A Space Odyssey (1968)
9,2012 (2009)
10,21 Grams (2003)
11,21 Jump Street (2012)
12,25th Hour (2002)
13,28 Days (2000)
14,28 Days Later (2002)
15,28 Weeks Later (2007)
16,300 (2007)
17,3:10 to Yuma (2007)
18,"40-Year-Old Virgin, The (2005)"
19,50 First Dates (2004)
20,8 Mile (2002)
21,A.I. Artificial Intelligence (2001)
22,About Schmidt (2002)
23,About a Boy (2002)
24,"Abyss, The (1989)"
25,Ace Ventura: Pet Detective (1994)
26,Ace Ventura: When Nature Calls (1995)
27,Adaptation (2002)
28,Addams Family Values (1993)
29,"Addams Family, The (1991)"
30,"Adjustment Bureau, The (2011)"
31,"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)"
32,"Adventures of Priscilla, Queen of the Desert, The (1994)"
33,Aeon Flux (2005)
34,"African Queen, The (1951)"
35,Air Force One (1997)
36,Airheads (1994)
37,Airplane! (1980)
38,Akira (1988)
39,Aladdin (1992)
40,Alice in Wonderland (1951)
41,Alice in Wonderland (2010)
42,Alien (1979)
43,Alien: Resurrection (1997)
44,Aliens (1986)
45,Alien³ (a.k.a. Alien 3) (1992)
46,All About Eve (1950)
47,All the President's Men (1976)
48,Almost Famous (2000)
49,Along Came Polly (2004)
50,Amadeus (1984)
51,"Amazing Spider-Man, The (2012)"
52,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
53,American Beauty (1999)
54,American Gangster (2007)
55,American Graffiti (1973)
56,American History X (1998)
57,American Pie (1999)
58,American Pie 2 (2001)
59,"American President, The (1995)"
60,American Psycho (2000)
61,"American Werewolf in London, An (1981)"
62,Amores Perros (Love's a Bitch) (2000)
63,Anaconda (1997)
64,Analyze This (1999)
65,Anchorman: The Legend of Ron Burgundy (2004)
66,And Your Mother Too (Y tu mamá también) (2001)
67,Angels in the Outfield (1994)
68,Anger Management (2003)
69,Animal House (1978)
70,Annie Hall (1977)
71,Ant-Man (2015)
72,Antz (1998)
73,"Apartment, The (1960)"
74,Apocalypse Now (1979)
75,Apollo 13 (1995)
76,Arachnophobia (1990)
77,Argo (2012)
78,"Aristocats, The (1970)"
79,Arlington Road (1999)
80,Armageddon (1998)
81,Army of Darkness (1993)
82,Arrival (2016)
83,"Arrival, The (1996)"
84,Arsenic and Old Lace (1944)
85,As Good as It Gets (1997)
86,Austin Powers in Goldmember (2002)
87,Austin Powers: International Man of Mystery (1997)
88,Austin Powers: The Spy Who Shagged Me (1999)
89,Avatar (2009)
90,"Avengers, The (2012)"
91,Avengers: Age of Ultron (2015)
92,"Aviator, The (2004)"
93,Awakenings (1990)
94,Babe (1995)
95,Babe: Pig in the City (1998)
96,Babel (2006)
97,Back to the Future (1985)
98,Back to the Future Part II (1989)
99,Back to the Future Part III (1990)
100,Backdraft (1991)
101,Bad Boys (1995)
102,Bad Santa (2003)
103,Bambi (1942)
104,Basic Instinct (1992)
105,Batman & Robin (1997)
106,Batman (1989)
107,Batman Begins (2005)
108,Batman Forever (1995)
109,Batman Returns (1992)
110,Battle Royale (Batoru rowaiaru) (2000)
111,"Beach, The (2000)"
112,"Beautiful Mind, A (2001)"
113,Beauty and the Beast (1991)
114,Beavis and Butt-Head Do America (1996)
115,Bedazzled (2000)
116,Bedknobs and Broomsticks (1971)
117,Beetlejuice (1988)
118,Before Sunrise (1995)
119,Being John Malkovich (1999)
120,Ben-Hur (1959)
121,Bend It Like Beckham (2002)
122,Best in Show (2000)
123,Better Off Dead... (1985)
124,Beverly Hills Cop (1984)
125,Beverly Hills Cop III (1994)
126,Big (1988)
127,"Big Chill, The (1983)"
128,Big Daddy (1999)
129,Big Fish (2003)
130,Big Hero 6 (2014)
131,"Big Lebowski, The (1998)"
132,"Big Short, The (2015)"
133,Big Trouble in Little China (1986)
134,Bill & Ted's Excellent Adventure (1989)
135,Billy Elliot (2000)
136,Billy Madison (1995)
137,Bio-Dome (1996)
138,"Birdcage, The (1996)"
139,Birdman: Or (The Unexpected Virtue of Ignorance) (2014)
140,"Birds, The (1963)"
141,Black Hawk Down (2001)
142,Black Swan (2010)
143,Blade (1998)
144,Blade II (2002)
145,Blade Runner (1982)
146,"Blair Witch Project, The (1999)"
147,Blast from the Past (1999)
148,Blazing Saddles (1974)
149,"Blind Side, The  (2009)"
150,Blood Diamond (2006)
151,Blow (2001)
152,Blue Velvet (1986)
153,"Blues Brothers, The (1980)"
154,"Bodyguard, The (1992)"
155,Boiler Room (2000)
156,"Bone Collector, The (1999)"
